"UID","trait","value","timestamp","person","location","number"
"1_S1","Alkaloids","1","2017-08-10 18:09:53+0100"," ","","1"
"1_S2","Alkaloids","2","2017-08-10 18:09:53+0100"," ","","1"
"1_S3","Alkaloids","3","2017-08-10 18:09:53+0100"," ","","1"
"1_S4","Alkaloids","4","2017-08-10 18:09:53+0100"," ","","1"
"1_S5","Alkaloids","5","2017-08-10 18:09:53+0100"," ","","1"
"1_S1.1","Alkaloids","1","2017-08-10 18:09:53+0100"," ","","1"
"1_S2.1","Alkaloids","2","2017-08-10 18:09:53+0100"," ","","1"
"1_S3.1","Alkaloids","3","2017-08-10 18:09:53+0100"," ","","1"
"1_S4.1","Alkaloids","4","2017-08-10 18:09:53+0100"," ","","1"
"1_S5.1","Alkaloids","5","2017-08-10 18:09:53+0100"," ","","1"
"1_S1.2","Alkaloids","1","2017-08-10 18:09:53+0100"," ","","1"
"1_S2.2","Alkaloids","2","2017-08-10 18:09:53+0100"," ","","1"
"1_S3.2","Alkaloids","3","2017-08-10 18:09:53+0100"," ","","1"
"1_S4.2","Alkaloids","4","2017-08-10 18:09:53+0100"," ","","1"
"1_S5.2","Alkaloids","5","2017-08-10 18:09:53+0100"," ","","1"
