"UID","trait","value","timestamp","person","location","number"
"1_T1","Custom name","TreeName1","2017-08-10 18:09:53+0100"," ","","1"
"1_T2","Custom name","TreeName2","2017-08-10 18:09:53+0100"," ","","1"
"1_T3","Custom name","TreeName3","2017-08-10 18:09:53+0100"," ","","1"
"1_T4","Custom name","TreeName4","2017-08-10 18:09:53+0100"," ","","1"
"1_T5","Custom name","TreeName5","2017-08-10 18:09:53+0100"," ","","1"
"1_T1","El Frances Code","2","2017-08-10 18:09:53+0100"," ","","1"
"1_T2","El Frances Code","2","2017-08-10 18:09:53+0100"," ","","1"
"1_T3","El Frances Code","2","2017-08-10 18:09:53+0100"," ","","1"
"1_T4","El Frances Code","2","2017-08-10 18:09:53+0100"," ","","1"
"1_T5","El Frances Code","2","2017-08-10 18:09:53+0100"," ","","1"
"1_T1","Variety","T5175 x ET40","2017-08-10 18:09:53+0100"," ","","1"
"1_T2","Variety","T5175 x ET40","2017-08-10 18:09:53+0100"," ","","1"
"1_T3","Variety","T5175 x ET40","2017-08-10 18:09:53+0100"," ","","1"
"1_T4","Variety","T5175 x ET40","2017-08-10 18:09:53+0100"," ","","1"
"1_T5","Variety","T5175 x ET40","2017-08-10 18:09:53+0100"," ","","1"
