"UID","trait","value","timestamp","person","location","number"
"2_T1","location","50.7780; 6.0472","2017-11-07 14:57:47+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T2","location","50.7780; 6.0472","2017-11-07 14:57:48+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T3","location","50.7780; 6.0472","2017-11-07 14:57:49+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T4","location","50.7780; 6.0472","2017-11-07 14:57:50+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T5","location","50.7780; 6.0472","2017-11-07 14:57:51+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T6","location","50.7780; 6.0472","2017-11-07 14:57:51+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T7","location","50.7780; 6.0472","2017-11-07 14:57:52+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T8","location","50.7780; 6.0472","2017-11-07 14:57:53+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T9","location","50.7780; 6.0472","2017-11-07 14:57:53+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T10","location","50.7780; 6.0472","2017-11-07 14:57:54+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T11","location","50.7780; 6.0472","2017-11-07 14:57:55+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T12","location","50.7780; 6.0472","2017-11-07 14:57:55+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T13","location","50.7780; 6.0472","2017-11-07 14:57:56+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T14","location","50.7780; 6.0473","2017-11-07 14:57:57+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T15","location","50.7780; 6.0473","2017-11-07 14:57:57+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T16","location","50.7780; 6.0473","2017-11-07 14:57:58+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T17","location","50.7780; 6.0473","2017-11-07 14:57:59+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T18","location","50.7780; 6.0473","2017-11-07 14:57:59+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T19","location","50.7780; 6.0473","2017-11-07 14:58:00+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T20","location","50.7780; 6.0473","2017-11-07 14:58:00+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T21","location","50.7780; 6.0473","2017-11-07 14:58:01+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T22","location","50.7780; 6.0473","2017-11-07 14:58:01+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T23","location","50.7780; 6.0473","2017-11-07 14:58:02+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T24","location","50.7780; 6.0473","2017-11-07 14:58:03+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T25","location","50.7780; 6.0473","2017-11-07 14:58:03+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T26","location","50.7780; 6.0473","2017-11-07 14:58:04+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T27","location","50.7780; 6.0473","2017-11-07 14:58:04+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T28","location","50.7780; 6.0473","2017-11-07 14:58:05+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T29","location","50.7792; 6.0540","2017-11-07 14:58:05+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T30","location","50.7792; 6.0540","2017-11-07 14:58:06+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T1","variety","Arabica","2017-11-07 14:58:12+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T2","variety","Arabica","2017-11-07 14:58:13+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T3","variety","Arabica","2017-11-07 14:58:14+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T4","variety","Arabica","2017-11-07 14:58:15+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T5","variety","Arabica","2017-11-07 14:58:15+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T6","variety","Robusta","2017-11-07 14:58:16+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T7","variety","Robusta","2017-11-07 14:58:17+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T8","variety","Robusta","2017-11-07 14:58:17+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T9","variety","Robusta","2017-11-07 14:58:18+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T10","variety","Robusta","2017-11-07 14:58:18+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T11","variety","Arabica:Robusta","2017-11-07 14:58:21+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T12","variety","Arabica:Robusta","2017-11-07 14:58:22+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T13","variety","Arabica:Robusta","2017-11-07 14:58:24+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T14","variety","Arabica:Robusta","2017-11-07 14:58:25+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T15","variety","Arabica:Robusta","2017-11-07 14:58:27+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T16","variety","Robusta:Arabica","2017-11-07 14:58:28+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T17","variety","Robusta:Arabica","2017-11-07 14:58:30+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T18","variety","Robusta:Arabica","2017-11-07 14:58:31+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T19","variety","Robusta:Arabica","2017-11-07 14:58:35+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T20","variety","Robusta:Arabica","2017-11-07 14:58:38+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T21","variety","Hybrid","2017-11-07 14:58:41+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T22","variety","Hybrid","2017-11-07 14:58:41+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T23","variety","Hybrid","2017-11-07 14:58:42+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T24","variety","Hybrid","2017-11-07 14:58:43+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T25","variety","Hybrid","2017-11-07 14:58:43+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T26","variety","Hybrid","2017-11-07 14:58:44+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T27","variety","Hybrid","2017-11-07 14:58:45+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T28","variety","Hybrid","2017-11-07 14:58:45+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T29","variety","Hybrid","2017-11-07 14:58:46+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T30","variety","Hybrid","2017-11-07 14:58:46+0100","Marcus McHale","50.7780 ; 6.0473","1"
"2_T2","name","name2","2017-11-07 14:58:58+0100","Marcus McHale","50.7780 ; 6.0473","1"
