"UID","trait","value","timestamp","person","location","number"
"1_R1","leaves",3,"2017-08-10 18:09:53+0100","me","","1"
"1_R2","leaves",3,"2017-08-10 18:09:53+0101","me","","1"
"1_R3","leaves",5,"2017-08-10 18:09:53+0102","me","","1"
"1_R4","leaves",4,"2017-08-10 18:09:53+0103","me","","1"
"1_R5","leaves",4,"2017-08-10 18:09:53+0104","me","","1"
"1_R6","leaves",6,"2017-08-10 18:09:53+0105","me","","1"
"1_R7","leaves",5,"2017-08-10 18:09:53+0106","me","","1"
"1_R8","leaves",5,"2017-08-10 18:09:53+0107","me","","1"
"1_R9","leaves",7,"2017-08-10 18:09:53+0108","me","","1"
"1_R10","leaves",6,"2017-08-10 18:09:53+0109","me","","1"
"1_R11","leaves",6,"2017-08-10 18:09:53+0110","me","","1"
"1_R12","leaves",8,"2017-08-10 18:09:53+0111","me","","1"
"1_R13","leaves",7,"2017-08-10 18:09:53+0112","me","","1"
"1_R14","leaves",7,"2017-08-10 18:09:53+0113","me","","1"
"1_R15","leaves",9,"2017-08-10 18:09:53+0114","me","","1"
"1_R16","leaves",8,"2017-08-10 18:09:53+0115","me","","1"
"1_R17","leaves",8,"2017-08-10 18:09:53+0116","me","","1"
"1_R18","leaves",10,"2017-08-10 18:09:53+0117","me","","1"
"1_R19","leaves",9,"2017-08-10 18:09:53+0118","me","","1"
"1_R20","leaves",9,"2017-08-10 18:09:53+0119","me","","1"
