UID,trait,value,timestamp,person,location,number
1_1,diameter,15,2017-08-10 18:09:53+0100,jimbob,123,1
1_2,diameter,7,2017-08-10 18:09:53+0101,jimbob,124,1
1_3,diameter,25,2017-08-10 18:09:53+0102,jimbob,125,1
1_4,diameter,4,2017-08-10 18:09:53+0103,jimbob,126,1
1_5,diameter,10,2017-08-10 18:09:53+0104,jimbob,127,1
1_6,diameter,2,2017-08-10 18:09:53+0105,jimbob,128,1
1_7,diameter,22,2017-08-10 18:09:53+0106,jimbob,129,1
1_8,diameter,4,2017-08-10 18:09:53+0107,jimbob,130,1
1_9,diameter,45,2017-08-10 18:09:53+0108,jimbob,131,1
1_10,diameter,4,2017-08-10 18:09:53+0109,jimbob,132,1
1_11,diameter,16,2017-08-10 18:09:53+0110,jimbob,133,1
1_12,diameter,8,2017-08-10 18:09:53+0111,jimbob,134,1
1_13,diameter,26,2017-08-10 18:09:53+0112,jimbob,135,1
1_14,diameter,5,2017-08-10 18:09:53+0113,jimbob,136,1
1_15,diameter,11,2017-08-10 18:09:53+0114,jimbob,137,1
1_16,diameter,3,2017-08-10 18:09:53+0115,jimbob,138,1
1_17,diameter,23,2017-08-10 18:09:53+0116,jimbob,139,1
1_18,diameter,5,2017-08-10 18:09:53+0117,jimbob,140,1
1_19,diameter,46,2017-08-10 18:09:53+0118,jimbob,141,1
1_20,diameter,5,2017-08-10 18:09:53+0119,jimbob,142,1
1_21,diameter,17,2017-08-10 18:09:53+0120,jimbob,143,1
1_22,diameter,9,2017-08-10 18:09:53+0121,jimbob,144,1
1_23,diameter,27,2017-08-10 18:09:53+0122,jimbob,145,1
1_24,diameter,6,2017-08-10 18:09:53+0123,jimbob,146,1
1_25,diameter,12,2017-08-10 18:09:53+0124,jimbob,147,1
1_26,diameter,4,2017-08-10 18:09:53+0125,jimbob,148,1
1_27,diameter,24,2017-08-10 18:09:53+0126,jimbob,149,1
1_28,diameter,6,2017-08-10 18:09:53+0127,jimbob,150,1
1_29,diameter,47,2017-08-10 18:09:53+0128,jimbob,151,1
1_30,diameter,6,2017-08-10 18:09:53+0129,jimbob,152,1
1_31,diameter,18,2017-08-10 18:09:53+0130,jimbob,153,1
1_32,diameter,10,2017-08-10 18:09:53+0131,jimbob,154,1
