"UID","trait","value","timestamp","person","location","number"
"1_L1","Abs",3,"2017-08-10 18:09:53+0100","me","","1"
"1_L2","Abs",3,"2017-08-10 18:09:53+0101","me","","1"
"1_L3","Abs",5,"2017-08-10 18:09:53+0102","me","","1"
"1_L4","Abs",4,"2017-08-10 18:09:53+0103","me","","1"
"1_L5","Abs",4,"2017-08-10 18:09:53+0104","me","","1"
"1_L6","Abs",6,"2017-08-10 18:09:53+0105","me","","1"
"1_L7","Abs",5,"2017-08-10 18:09:53+0106","me","","1"
"1_L8","Abs",5,"2017-08-10 18:09:53+0107","me","","1"
"1_L9","Abs",7,"2017-08-10 18:09:53+0108","me","","1"
"1_L10","Abs",6,"2017-08-10 18:09:53+0109","me","","1"
"1_L11","Abs",6,"2017-08-10 18:09:53+0110","me","","1"
"1_L12","Abs",8,"2017-08-10 18:09:53+0111","me","","1"
"1_L13","Abs",7,"2017-08-10 18:09:53+0112","me","","1"
"1_L14","Abs",7,"2017-08-10 18:09:53+0113","me","","1"
"1_L15","Abs",9,"2017-08-10 18:09:53+0114","me","","1"
"1_L16","Abs",8,"2017-08-10 18:09:53+0115","me","","1"
"1_L17","Abs",8,"2017-08-10 18:09:53+0116","me","","1"
"1_L18","Abs",10,"2017-08-10 18:09:53+0117","me","","1"
"1_L19","Abs",9,"2017-08-10 18:09:53+0118","me","","1"
"1_L20","Abs",9,"2017-08-10 18:09:53+0119","me","","1"
