"UID","trait","value","timestamp","person","location","number"
"1_S1","Sugar","166","2017-08-10 18:09:53+0100"," ","","1"
"1_S1","Sugar","16","2017-08-10 18:09:53+0100"," ","","1"
"1_S1","Sugar","1686","2017-08-10 18:09:53+0100"," ","","1"
"1_S1","Sugar","1666","2017-08-10 18:09:53+0100"," ","","1"
"1_S1","Sugar","16688","2017-08-10 18:09:53+0100"," ","","1"
"1_S40","Sugar","166","2017-08-10 18:09:53+0100"," ","","1"
"1_S40","Sugar","16","2017-08-10 18:09:53+0100"," ","","1"
"1_S40","Sugar","1686","2017-08-10 18:09:53+0100"," ","","1"
"1_S40","Sugar","1666","2017-08-10 18:09:53+0100"," ","","1"
"1_S40","Sugar","16688","2017-08-10 18:09:53+0100"," ","","1"
