"UID","trait","value","timestamp","person","location","number"
"1_T1","Custom name","TreeName1","2017-08-10 18:09:53+0100"," ","","1"
"1_T2","Custom name","TreeName2","2017-08-10 18:09:53+0100"," ","","1"
"1_T3","Custom name","TreeName3","2017-08-10 18:09:53+0100"," ","","1"
"1_T4","Custom name","TreeName4","2017-08-10 18:09:53+0100"," ","","1"
"1_T5","Custom name","TreeName5","2017-08-10 18:09:53+0100"," ","","1"
"1_T6","Custom name","TreeName6","2017-08-10 18:09:53+0100"," ","","1"
"1_T7","Custom name","TreeName7","2017-08-10 18:09:53+0100"," ","","1"
"1_T8","Custom name","TreeName8","2017-08-10 18:09:53+0100"," ","","1"
"1_T9","Custom name","TreeName9","2017-08-10 18:09:53+0100"," ","","1"
"1_T10","Custom name","TreeName10","2017-08-10 18:09:53+0100"," ","","1"
"1_T11","Custom name","TreeName11","2017-08-10 18:09:53+0101"," ","","1"
"1_T12","Custom name","TreeName12","2017-08-10 18:09:53+0101"," ","","1"
"1_T13","Custom name","TreeName13","2017-08-10 18:09:53+0101"," ","","1"
"1_T14","Custom name","TreeName14","2017-08-10 18:09:53+0101"," ","","1"
"1_T15","Custom name","TreeName15","2017-08-10 18:09:53+0101"," ","","1"
"1_T11","block","new","2017-08-10 18:09:53+0101"," ","","1"
"1_T12","block","new","2017-08-10 18:09:53+0101"," ","","1"
"1_T13","block","new","2017-08-10 18:09:53+0101"," ","","1"
"1_T14","block","new","2017-08-10 18:09:53+0101"," ","","1"
"1_T15","block","new","2017-08-10 18:09:53+0101"," ","","1"
