"group","name","format","defaultValue","minimum","maximum","details","categories"
"metabolomic","sample","text",,,,"name of the sample analyzed",
"metabolomic","product","text",,,,"type of tissu analyzed",
"metabolomic","fresh weight","numeric",,,,"Fresh weight of the sample",
"metabolomic","drying","multicat",,,,"technique of drying",
"metabolomic","dry weight","numeric",,,,"Dry weight of the sample",
"metabolomic","Phenolic","numeric",,,,"measurement of phenolic compounds",
"metabolomic","Alkaloids","numeric",,,,"measurement of alkaloids compounds",
"metabolomic","Sugar","numeric",,,,"measurement of sugars compounds",
"metabolomic","Lipid","numeric",,,,"measurement of lipid compounds",
"metabolomic","Volatil","numeric",,,,"measurement of volatil compounds",
"metabolomic","NMR","numeric",,,,"measurement of sugars compounds",
