"group","name","format","defaultValue","minimum","maximum","details","categories"
"general","location","location",,,,"Location (device positioning)",
"general","variety","multicat",,,,"Variety","Hybrid/Arabica/Robusta/Arabusta/With/Varieties/Available/Up/To/12/Separated/like/this"
"general","hybrid_parent1","multicat",,,,"Variety: Parent 1 (female/maternal)","Arabica/Robusta/Arabusta/With/Varieties/Available/Up/To/12/Separated/like/this"
"general","hybrid_parent2","multicat",,,,"Variety: Parent 2 (male/paternal)","Arabica/Robusta/Arabusta/With/Varieties/Available/Up/To/12/Separated/like/this"
"general","date","date",,,,"date of measurement",
"general","name","text",,,,"Custom tree name or identifier",
"general","block","text",,,,"Custom block name or identifier",
"agronomic","type","multicat",,,,"Tree size","Low/Tall"
"agronomic","sprout","multicat",,,,"Leaf sprout color","Green/Bronze"
"agronomic","Male sterility","boolean",,,,"Presence/absence of pollen","Yes/No"
"agronomic","branches","counter",,,,"Branch count",
"agronomic","leaves","counter",,,,"Average of leaves number per branch",
"agronomic","rust_leaf","boolean",,,,"Presence of rust or not, based on 2 leaves","Yes/No"
"agronomic","rust_severity","multicat",,,,"Rust notation from 0 (no symptoms) to 5 (severe)","0/1/2/3/4/5"
"agronomic","rust_lesion_number","numeric",,,,"Average of rust lesion per branch ",
"agronomic","rust_spore_number","numeric",,,,"Average of sporulation lesion under the leaves (per branch) ",
"agronomic","rust_incidence","counter",,,,"Rust incidence average/year = NL/TL",
"agronomic","branches_fruiting","counter",,,,"Fruiting branch count",
"agronomic","nodes_fruiting","counter",,,,"Fruiting nodes per branch",
"agronomic","upper_branch_fruits","counter",,,,"Number of cherries on the higher branch (the top branches that did not contains cherries were not taken in account)",
"agronomic","middle_branch_fruits","counter",,,,"Number of cherries on the branch in the middle",
"agronomic","lower_branch_fruits","counter",,,,"Number of cherries on the lower branch (the branches that did not contains cherries were not taken in account)",
"agronomic","fruit_estimation","counter",,,,"Estimation of the total fruit number on the tree",
"agronomic","fruit_weight","numeric",,,,"Weight of the fruits harvested in grams",
"agronomic","fruit_floating_weight","numeric",,,,"Weight of the floating fruits in grams",
"agronomic","parchment_wet_weight","numeric",,,,"Wet weight of the parchment beans in grams",
"agronomic","parchment_dry_weight","numeric",,,,"Dry weight of the parchment beans in grams",
"agronomic","green_coffee_weight","numeric",,,,"Dry weight of the green beans in grams (12% humidity)",
